xflr5 v6.61

Plane name :        4
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -19.200     0.000  -0.874218   0.105882   0.012484   0.118366  -0.000000   0.000000   0.210833   0.000000  -0.000000   50.0000     0.2075
  -19.100     0.000  -0.870306   0.104914   0.012412   0.117325  -0.000000   0.000000   0.209950   0.000000  -0.000000   50.0000     0.2074
  -19.000     0.000  -0.866386   0.103948   0.012341   0.116289  -0.000000   0.000000   0.209065   0.000000  -0.000000   50.0000     0.2073
  -18.900     0.000  -0.862459   0.102986   0.012273   0.115258  -0.000000   0.000000   0.208177   0.000000  -0.000000   50.0000     0.2072
  -18.800     0.000  -0.858523   0.102026   0.012205   0.114231  -0.000000   0.000000   0.207287   0.000000  -0.000000   50.0000     0.2071
  -18.700     0.000  -0.854580   0.101069   0.012140   0.113209  -0.000000   0.000000   0.206395   0.000000  -0.000000   50.0000     0.2071
  -18.600     0.000  -0.850629   0.100116   0.012078   0.112193  -0.000000   0.000000   0.205500   0.000000  -0.000000   50.0000     0.2070
  -18.500     0.000  -0.846670   0.099165   0.012016   0.111181  -0.000000   0.000000   0.204603   0.000000  -0.000000   50.0000     0.2069
  -18.400     0.000  -0.842704   0.098217   0.011955   0.110172  -0.000000   0.000000   0.203704   0.000000  -0.000000   50.0000     0.2068
  -18.300     0.000  -0.838730   0.097272   0.011895   0.109167  -0.000000   0.000000   0.202802   0.000000  -0.000000   50.0000     0.2067
  -18.200     0.000  -0.834749   0.096331   0.011837   0.108168  -0.000000   0.000000   0.201897   0.000000  -0.000000   50.0000     0.2067
  -18.100     0.000  -0.830760   0.095392   0.011780   0.107172  -0.000000   0.000000   0.200991   0.000000  -0.000000   50.0000     0.2066
  -18.000     0.000  -0.826764   0.094457   0.011723   0.106180  -0.000000   0.000000   0.200081   0.000000  -0.000000   50.0000     0.2065
  -17.900     0.000  -0.822760   0.093525   0.011665   0.105190  -0.000000   0.000000   0.199169   0.000000  -0.000000   50.0000     0.2064
  -17.800     0.000  -0.818749   0.092596   0.011606   0.104202  -0.000000   0.000000   0.198255   0.000000  -0.000000   50.0000     0.2064
  -17.700     0.000  -0.814730   0.091670   0.011549   0.103220  -0.000000   0.000000   0.197338   0.000000  -0.000000   50.0000     0.2063
  -17.600     0.000  -0.810704   0.090748   0.011493   0.102241  -0.000000   0.000000   0.196418   0.000000  -0.000000   50.0000     0.2062
  -17.500     0.000  -0.806670   0.089829   0.011438   0.101266  -0.000000   0.000000   0.195497   0.000000  -0.000000   50.0000     0.2061
  -17.400     0.000  -0.802629   0.088913   0.011385   0.100298  -0.000000   0.000000   0.194573   0.000000  -0.000000   50.0000     0.2060
  -17.300     0.000  -0.798581   0.088000   0.011332   0.099333  -0.000000   0.000000   0.193647   0.000000  -0.000000   50.0000     0.2060
  -17.200     0.000  -0.794526   0.087091   0.011281   0.098372  -0.000000   0.000000   0.192718   0.000000  -0.000000   50.0000     0.2059
  -17.100     0.000  -0.790463   0.086185   0.011230   0.097415  -0.000000   0.000000   0.191787   0.000000  -0.000000   50.0000     0.2058
  -17.000     0.000  -0.786393   0.085283   0.011179   0.096462  -0.000000   0.000000   0.190854   0.000000  -0.000000   50.0000     0.2057
  -16.900     0.000  -0.782316   0.084384   0.011128   0.095512  -0.000000   0.000000   0.189918   0.000000  -0.000000   50.0000     0.2057
